gene_name,padj,log2FoldChange
FAM198B,1.4949433866740229e-30,-1.1162790529400797
PHF17,3.694660765681725e-25,-1.2101767238235035
FAM46B,2.114124845634486e-21,-2.324667288430541
RP11-357D18.1,1.1117324468881309e-18,-6.291253405060132
MARCH10,3.9853574140203015e-18,-3.907068698406224
FAM46A,1.0450872947669217e-15,1.190106798014417
FAM63B,5.93477943000849e-15,-1.0365449089506829
NOV,1.0070783251218452e-12,2.5799587239768424
PRODH,7.164352207651514e-12,-5.392204778079373
FAM46C,1.4360291328104795e-11,2.4653044214432667
RP11-366L20.2,5.47492436276431e-11,-2.33220531210958
WDR63,1.1513566489079276e-09,1.5863667847552854
C9orf3,2.96037396101547e-09,-1.0962957783116123
ZCCHC6,5.9035081919312955e-09,-1.1219460439852331
AC026806.2,6.3053294435187694e-09,-2.592376639606188
RP4-756G23.5,1.3009529177244393e-08,2.0536364148017427
SQRDL,2.0660029358851544e-08,-1.0229174672755066
LINC00478,4.98913468047323e-08,1.3826392667003005
LRRC16A,5.428099493918246e-08,-1.1752503768809694
SHB,7.699140401873887e-08,1.0231378064427854
RP11-1024P17.1,1.0745124472967682e-07,-2.435606163754553
C10orf10,1.0803314928770383e-07,-1.613332400680212
RP11-448G15.3,1.3080617988985586e-07,-1.45260889315786
WARS,1.5150236093005497e-07,1.3243736603415837
RP11-353B9.1,1.632936935334325e-07,1.0353016050191772
AGPAT9,1.8045175014234637e-07,-1.158263030933412
AC007620.3,2.038773746886957e-07,-1.0148448920838995
CTC-441N14.2,1.094942488993295e-06,-2.653079507025411
PTPLA,1.2292251114416332e-06,-1.0243426487469354
DAAM1,1.5374836445993303e-06,1.001489685502221
RP11-401P9.4,2.1033938190341115e-06,-2.325423750445595
RP11-798M19.6,2.340546707412466e-06,-1.0474966376463202
TMEM35,2.5989684985734886e-06,1.6445402301548129
CYR61,2.7045087958121563e-06,-1.8167701502493616
RP11-824M15.3,3.855828740709897e-06,-1.4819991001442858
LINC00312,5.202604246409167e-06,-1.9949748565269612
CTB-167B5.2,1.2891891827864158e-05,-4.653083785019577
RP11-17A4.2,1.3130461151594765e-05,-1.5770940617108995
RP11-253M7.1,1.5427534413387946e-05,-1.6780464768073071
RP11-145M9.4,1.6369278456065645e-05,-1.130935234035736
PPAP2B,1.9861021014595397e-05,1.0152638727072012
RP11-481H12.1,2.1819869754599856e-05,-2.4107788562766674
ANG,2.4181930212511532e-05,-1.0444255791320975
C16orf74,2.633349602932273e-05,1.0076979690920431
RP11-703I16.1,4.4421075177264215e-05,-2.3854366641574
AC093627.10,4.870052970294847e-05,-1.2277211614618002
LINC00856,5.244733289105025e-05,1.5955918487886844
ZCCHC5,5.821748341095708e-05,-3.029571074650378
RP11-175K6.1,7.014529028668464e-05,-1.6073800310047746
ACER3,0.0001334401720184,-1.0932377312946504
RP11-434D9.1,0.0003668766143896,-5.209312949123972
AC007362.1,0.0005169840044276,-1.2903766975639297
CTC-205M6.5,0.0005925376390431,-1.2185024206489414
RP11-986E7.7,0.0005946862536965,-4.170576870899176
FAM196A,0.0006456340819984,-2.484262027667507
RP1-151F17.2,0.0006667686744401,1.48263146801417
GRAMD3,0.0006756275908883,-1.2856202436725517
CBS,0.0006954688386726,-1.2461911033968425
RP3-428L16.2,0.0007728099032405,2.0786663828112677
DGCR6,0.0008280338778253,-2.3650377327749417
RP11-54O7.3,0.0009117503254155,1.7617547534694495
AC007879.7,0.0009467134034047,-3.127272366665796
FAM105A,0.0011181586703255,-2.616483843551131
RP11-24J23.2,0.0012723469817204,1.802702529645132
RP11-211G3.2,0.0013072695208615,-1.167593701983806
C1orf95,0.0015042506466242,-2.9622867414753813
SEPT4,0.0015359893799642,-1.8108748764835616
RP11-184M15.1,0.0017129447215122,-3.5686059358740527
RP11-181K3.4,0.0022788755843083,-1.0825714974962442
C17orf96,0.0023216345773657,-1.025807577228806
RP11-499P20.2,0.0023551087744099,-1.3320143122522343
RP11-253E3.3,0.0023799391081986,-1.0045453333635503
RP11-890B15.2,0.0025525190679517,-2.845071630978619
ABCC6P1,0.0025832599006921,1.8890922653466449
RP11-815J4.6,0.0027472792085762,2.298733413849228
FRRS1L,0.0029400542895888,1.0703588719944552
RP5-965F6.2,0.0029470803116143,-3.382043145960913
LPPR4,0.0031957545308402,2.069644298958968
CTC-462L7.1,0.003412847002518,-1.3201601379672128
CCDC54,0.0035228046688354,-3.672812082019487
CTB-92J24.3,0.0041860295456428,-3.0771758894944616
PLCE1-AS1,0.0042474909648652,-4.323541565145522
RP11-340F14.5,0.0045532269425384,1.8821075214556608
RP11-298I3.4,0.0046250512914294,2.3520662654078195
RP11-709B3.2,0.0046599692990226,1.9600783700786504
RP11-496D24.2,0.0050020253097723,3.0889508524197105
AC008991.1,0.0056719272934033,2.533624085762541
PHF16,0.0062736148381895,1.0634063731820484
AC011524.1,0.0064012584122392,2.1439792451628192
CLUL1,0.0067766367314204,2.769838985445665
RP11-71E19.1,0.007395834502138,-3.192423525004139
AP000473.8,0.0074972481015634,2.0353508478778832
RP1-74M1.3,0.0076446029673332,1.6644964886849412
RP11-16E12.1,0.0079729159813743,-1.895526637879816
RP4-668G5.1,0.0080108002736489,-3.0066731438523053
LINC00890,0.0083765839517182,-5.5311004680736495
RP5-1112D6.8,0.0090295711375751,-1.2222299134647474
ZNF259P1,0.0091760357369463,-3.731057154652247
GUCY2D,0.0097392065167155,-6.024110374063917
RP11-712B9.4,0.0098378788252596,-4.174690888688116
RP11-17A4.3,0.0102425538382529,-2.3166466204470426
KIAA1324,0.0103072793185816,1.1202371599548009
C13orf45,0.0111665500150354,1.6155963985812711
RP11-1E6.1,0.0138103542452684,3.379530234149254
PLCG2,0.015810210806196,-1.650482813944015
RP11-550F7.1,0.0161157048315766,-1.070012010906222
RP11-563P16.1,0.0162156177524354,-2.463817691726139
RP11-437J19.1,0.016864636546385,2.8649868433380505
RP11-20J15.3,0.0177291001652889,1.4626398820506248
RP11-20I20.4,0.0188419639694037,1.4099662996631197
RP11-611D20.2,0.0203376456302867,1.4549758840030618
RP11-44N12.5,0.0207804044917569,1.014230607367057
AP000473.5,0.021686296958963,1.848981529488336
SPINT2,0.0220033730131356,-1.8968722398327469
RP11-397O8.7,0.0223163887146748,-1.3513548953037762
IQCH-AS1,0.0223403744043694,-1.0033526437823144
RP5-1092A3.4,0.0223609801329953,1.5774816982154236
FAM160A1,0.0226406152223263,-2.2007792471082417
ALDH1L1,0.0250569096713026,-3.802643480823051
SAMD3,0.0250817648414455,1.384383584805011
MIR770,0.0258127296103206,1.65650618935312
hsa-mir-125a,0.0263368299862531,1.663453469449387
RP11-68I3.10,0.026842074226687,-1.771276770973702
ALS2CR12,0.0269267143281611,-1.0287932709826244
RP11-367N14.3,0.0270080353484345,-1.65620793684697
RP11-612B6.2,0.0276547908774253,-1.78654615912584
RP11-509E16.1,0.0277060018957648,2.6538820096635183
RP6-109B7.3,0.0277724048063161,-1.0851752596034008
TMEM133,0.0283735970737066,1.0766685641016485
ICOSLG,0.02977506400076,1.556828710701129
RP11-108L7.15,0.0298582462780664,1.672398833951443
RP11-545A16.3,0.0301414435024177,-3.7857275086002575
FPR1,0.0302231183307975,-4.487526821626272
RP11-156L14.1,0.0308842842958357,-5.3191758515351015
ACTA2-AS1,0.031117079161871,-1.2942917980206736
RP11-161M6.2,0.0311516119460408,1.7551157735399503
RP11-293M10.6,0.0313644913505072,1.4562198056895828
CASC14,0.0321385682874835,2.253323596080407
TBC1D30,0.0345237220088105,1.6058790480277711
RP11-91K9.1,0.0359696578665377,-1.1206399123324526
C12orf55,0.0369347874630867,1.0449444620893835
FAM86HP,0.0369409473600557,1.0555411086447022
LINC00163,0.0373022282261144,-3.155562574059021
PTPRCAP,0.0376632358410912,-1.4715903439171003
CFL1P1,0.0382438616250177,1.2984137537150453
GPR20,0.0394650865578074,2.7463821787921243
PRKAG2-AS1,0.0403939995467975,-3.0755344867199854
RP11-114H23.1,0.0403939995467975,2.672491028045047
RP11-750H9.5,0.0408693538425644,-1.0296430708242748
PXN-AS1,0.0427600519603735,1.1547654942967738
PKMP3,0.0430011516849115,1.5145192314702016
RP11-332E3.2,0.043163848395475,1.885419286956644
RP11-403A21.2,0.0443084940630128,-1.484438743736311
RP11-404P21.5,0.0455915090690867,2.3115183848539966
RNU12,0.047269800165342,-2.4941900839850586
C9orf106,0.048589729780615,1.1152194647480678
RP11-81H14.2,0.0493979599103341,-2.3833514252681094
NPAS4,0.0494003358198499,-2.6359069483830337
TNNT2,0.0497134959120919,-3.682866738960824
ELN,0.0499042311893404,-1.0337195387859142
