gene_id	gene_name	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N061011_untreated	N061011_dex
ENSG00000223972.4	DDX11L1	0	0	0	0	0	0	0	0
ENSG00000227232.4	WASH7P	72	56	137	48	86	106	83	73
ENSG00000243485.2	MIR1302-11	0	0	0	0	0	0	0	0
ENSG00000237613.2	FAM138A	0	0	0	0	0	0	0	0
ENSG00000268020.2	OR4G4P	0	0	0	0	0	0	0	0
ENSG00000240361.1	OR4G11P	0	0	0	0	0	0	0	0
ENSG00000186092.4	OR4F5	0	0	0	0	0	0	0	0
ENSG00000238009.2	RP11-34P13.7	0	1	2	0	0	0	1	2
ENSG00000239945.1	RP11-34P13.8	0	0	0	0	0	0	0	0
ENSG00000233750.3	CICP27	1	0	0	0	0	0	0	1
ENSG00000237683.5	AL627309.1	2	0	17	10	3	1	4	3
ENSG00000268903.1	RP11-34P13.15	0	0	0	1	0	0	0	0
ENSG00000269981.1	RP11-34P13.16	0	0	0	0	0	0	0	0
ENSG00000239906.1	RP11-34P13.14	0	0	0	0	0	0	0	0
ENSG00000241860.2	RP11-34P13.13	2	4	8	4	1	1	9	3
ENSG00000222623.1	RNU6-1100P	0	0	0	0	0	0	0	0
ENSG00000241599.1	RP11-34P13.9	0	0	0	0	0	0	0	0
ENSG00000228463.4	AP006222.2	7	5	6	2	21	14	9	4
ENSG00000241670.2	AP006222.1	0	0	0	0	0	0	0	0
ENSG00000237094.7	RP4-669L17.10	3	3	9	3	5	3	2	3
ENSG00000250575.1	RP4-669L17.8	0	0	0	0	0	0	0	0
ENSG00000233653.3	CICP7	0	0	0	0	0	0	0	0
ENSG00000224813.2	RP4-669L17.4	0	0	0	0	0	0	0	0
ENSG00000235249.1	OR4F29	0	0	0	0	0	0	0	0
ENSG00000269732.1	WBP1LP7	0	0	0	0	0	0	0	0
ENSG00000256186.1	AL732372.1	0	0	0	0	0	0	0	0
ENSG00000236601.1	RP4-669L17.2	0	0	0	0	0	0	0	0
ENSG00000236743.1	RP5-857K21.15	0	0	0	0	0	0	0	0
ENSG00000236679.2	RP4-669L17.1	0	0	0	0	0	0	0	0
ENSG00000231709.1	RP5-857K21.1	3	2	2	0	0	0	0	1
ENSG00000235146.2	RP5-857K21.2	0	0	0	0	0	0	0	0
ENSG00000239664.2	RP5-857K21.3	0	0	0	0	0	0	0	0
ENSG00000230021.3	RP5-857K21.4	2	0	2	1	0	0	0	0
ENSG00000223659.1	RP5-857K21.5	0	0	0	0	0	0	0	0
ENSG00000225972.1	MTND1P23	5	1	0	2	3	4	0	0
ENSG00000225630.1	MTND2P28	761	738	875	630	996	1217	527	667
ENSG00000237973.1	hsa-mir-6723	1087	1247	1032	840	1405	1682	937	1003
ENSG00000229344.1	RP5-857K21.7	2	8	13	6	13	16	1	2
ENSG00000240409.1	MTATP8P1	1	0	1	1	6	5	1	0
ENSG00000248527.1	MTATP6P1	4400	4614	5961	3960	5449	5946	3679	3984
ENSG00000198744.5	RP5-857K21.11	7	9	12	5	2	16	2	7
ENSG00000268663.1	WBP1LP6	0	0	0	0	0	0	0	0
ENSG00000185097.2	OR4F16	0	0	0	0	0	0	0	0
ENSG00000229376.3	CICP3	1	1	0	0	4	1	0	0
ENSG00000224956.5	RP11-206L10.1	0	1	3	1	1	1	1	1
ENSG00000235373.1	RP11-206L10.3	1	1	3	1	2	1	4	0
ENSG00000223181.1	RNU6-1199P	0	0	0	0	0	0	0	0
ENSG00000240618.1	RP11-206L10.5	0	1	0	0	1	0	0	0
ENSG00000229905.1	RP11-206L10.4	0	0	0	0	0	0	0	0
ENSG00000228327.2	RP11-206L10.2	14	6	23	4	7	7	8	4
ENSG00000237491.4	RP11-206L10.9	12	8	20	10	26	21	5	4
ENSG00000230092.3	RP11-206L10.8	2	2	5	2	0	11	2	5
ENSG00000269831.1	AL669831.1	2	1	1	1	1	0	0	0
