gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
SPARCL1,0.0,7.991377199412549e-102,-6.780666692178128,-4.599243257947079,True
STOM,0.015,2.501480533454686e-59,-2.0342000076534386,-1.429066841447303,True
PER1,3.6e-12,3.4815035601922468e-53,-4.616624130844683,-3.200999810092176,True
PHC2,0.0011,2.976088588192881e-50,-2.1063347596978867,-1.3885885342164492,True
MT2A,2.6e-09,7.832689524448509e-46,-3.2172099411823885,-2.202022626820728,True
DUSP1,0.0,1.4141357485132078e-45,-4.313658172258001,-2.9484971168670917,True
MAOA,0.0,1.8745834603776729e-44,-4.74646668452469,-3.3024537161492904,True
ZBTB16,5.2e-07,3.2694588017642574e-44,-10.906774509120565,-7.159699776105306,True
KCTD12,1.1e-11,3.8289190187556565e-41,3.635591503040188,2.50136537415248,True
SAMHD1,0.0,3.6635655021548566e-40,-5.52552200660473,-3.855719853173392,True
NEXN,1.2e-06,9.10394229032089e-39,-2.914243982595706,-2.028925316716374,True
SLC6A9,0.0064,1.004600346672448e-38,3.260490792409057,2.226623828152652,True
FKBP5,0.0,1.452569391501914e-37,-5.698645411511406,-3.938280589657279,True
DNAJB4,0.0003,1.3901890934087253e-33,-2.207323412560114,-1.509041276980714,True
NNMT,5.1e-08,4.441251121729629e-31,-3.17392908995572,-2.1612723966539487,True
FAM171B,0.0057,1.188829051210295e-28,1.9620652556089904,1.3538807106694748,True
CCDC69,0.0,3.18325000932881e-28,-4.2126695193957735,-2.898063431800159,True
GLUL,5.8e-08,4.703563788038429e-26,-4.299231221849111,-3.000587764736872,True
MT1X,0.00019,6.985622100003798e-26,-4.544489378800235,-3.107645295141697,True
VCAM1,2e-05,8.045172749566695e-26,5.16484824638249,3.6133801195162696,True
STEAP1,0.00013,8.147181767214635e-26,-2.250604263786783,-1.5547407416269283,True
KLF15,0.0,1.3647862963421789e-25,-6.607543287271453,-4.569938002543277,True
ARMC8,0.023,1.585696104083783e-25,-1.8899305035645424,-1.3631898130557447,True
FGD4,3.6e-08,1.6760618714366654e-25,-3.2172099411823885,-2.2491909367595686,True
PNPLA2,0.025,1.7467338760658455e-25,-1.5581106441600807,-1.07726009610744,True
PHF17,0.023,3.694660765681725e-25,-1.7456609994756458,-1.2101767238235035,True
CACNB2,1.1e-06,8.713513755235551e-25,-4.847455337386917,-3.320591193235753,True
RAP2B,0.011,2.7186016102906945e-24,1.9187844043823212,1.2735525182279024,True
ERRFI1,1.1e-10,3.847913221600434e-24,-3.505748949360181,-2.438941144203264,True
TIMP4,0.00014,7.53604752027251e-24,-4.111680866533546,-2.963214582581386,True
TSLP,0.00051,7.53604752027251e-24,4.154961717760215,2.8009047170460044,True
NEK10,0.023,8.114560316091329e-24,3.7942879575379735,2.4622895312257307,True
PHLDA1,0.023,7.976200262806354e-23,1.58696454497786,1.051974278003909,True
TMEM119,0.011,8.347381170060791e-23,1.6879531978400872,1.1717910201984627,True
CRISPLD2,6.9e-13,1.7992518217161406e-22,-3.8952766104002015,-2.698418358373944,True
KLF9,9.1e-08,4.753692707026413e-22,-3.000805685049044,-2.108139862842713,True
IRS2,1.7e-08,5.855437430593527e-22,-3.13064823872905,-2.1659181532196943,True
APBB2,0.048,7.224501059965299e-22,-1.5725375945689704,-1.0813181437117347,True
FAM46B,0.029,2.114124845634486e-21,-3.347052494862395,-2.324667288430541,True
IMPA2,3.8e-07,3.062160021935796e-21,-3.505748949360181,-2.33850241840605,True
TCEAL4,0.00061,5.361807888215825e-21,-2.207323412560114,-1.5469492021301208,True
GPX3,0.0,9.544398836394962e-21,-5.424533353742502,-3.7419699275048823,True
GXYLT2,0.0072,1.8977090241286262e-20,2.2794581646045624,1.5724586342103868,True
TMEM200A,0.021,1.0532992968220544e-19,1.7600879498845354,1.2160731628863597,True
SLC6A6,0.024,3.0782152319325976e-19,2.9430978834134853,2.1130357090093854,True
WASF3,0.026,4.283111089702651e-19,-1.58696454497786,-1.1001302508437154,True
HIGD1A,0.0088,7.50183145486956e-19,-1.7889418507023147,-1.2077115050774512,True
TSC22D3,2.5e-13,1.759554491375945e-18,-4.717612783706911,-3.3343604776830413,True
TRIM45,0.029,2.1351576922070376e-18,2.827682280142368,1.961127680733802,True
HPS5,0.002,2.4127597838404665e-18,-2.250604263786783,-1.5868299355138171,True
SOX4,5.1e-09,2.527427581538407e-18,3.476895048542402,2.3583051032845224,True
CEBPD,0.00048,5.8379491979320924e-18,-2.1207617101067764,-1.4961984309303809,True
C14orf132,0.02,1.0233875806042076e-17,1.6302453962045285,1.1450813446542454,True
ZHX3,0.017,1.498140335590188e-17,-1.644672346613418,-1.1490322864200748,True
DCXR,1.7e-06,1.5896763809487225e-17,-3.4047602964979538,-2.1497581613253094,True
