gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
SPARCL1,0.0,1.533159231215385e-102,-6.780666692178128,-4.605043572854614,True
STOM,0.015,5.0909052504477415e-56,-2.0342000076534386,-1.433494481511922,True
PER1,3.6e-12,2.095351228303846e-53,-4.616624130844683,-3.2061829914512003,True
PHC2,0.0011,6.650572069762689e-50,-2.1063347596978867,-1.3946310114459628,True
DUSP1,0.0,8.004155084203412e-46,-4.313658172258001,-2.954298646294505,True
MT2A,2.6e-09,2.767038951378389e-45,-3.2172099411823885,-2.207418858086096,True
MAOA,0.0,3.8115186596104163e-44,-4.74646668452469,-3.308354059446806,True
KCTD12,1.1e-11,2.040290783296324e-40,3.635591503040188,2.495270727600157,True
SAMHD1,0.0,3.167373732648365e-40,-5.52552200660473,-3.8608757183452354,True
NEXN,1.2e-06,4.1992451781809684e-39,-2.914243982595706,-2.0349301411683385,True
SLC6A9,0.0064,1.3131078290181982e-38,3.260490792409057,2.222059283608895,True
FKBP5,0.0,6.751279239023179e-38,-5.698645411511406,-3.9440005137230174,True
DNAJB4,0.0003,5.622079264403949e-34,-2.207323412560114,-1.5173326896519594,True
NNMT,5.1e-08,3.153643514172524e-31,-3.17392908995572,-2.165924538585573,True
CCDC69,0.0,1.860925784422796e-28,-4.2126695193957735,-2.903529561364011,True
FAM171B,0.0057,2.8292973147096293e-28,1.9620652556089904,1.347795127279885,True
MT1X,0.00019,2.7907706921317276e-26,-4.544489378800235,-3.1164625435296185,True
GLUL,5.8e-08,4.559263154966947e-26,-4.299231221849111,-3.002918621471553,True
STEAP1,0.00013,5.813611434599965e-26,-2.250604263786783,-1.5608977856236812,True
VCAM1,2e-05,8.147691131339309e-26,5.16484824638249,3.607152207714871,True
KLF15,0.0,9.359018038964452e-26,-6.607543287271453,-4.574045160134614,True
FGD4,3.6e-08,1.3060596105907434e-25,-3.2172099411823885,-2.2533382039567247,True
ARMC8,0.023,2.1194278518621467e-25,-1.8899305035645424,-1.3689002804698065,True
PNPLA2,0.025,5.896227886462257e-25,-1.5581106441600807,-1.0832464930705474,True
