gene_name	Dex FPKM	Untreated FPKM	Ln[Fold Change]	stat	P-Value	padj	Locus	log2FoldChange
C7	38.41	3.76	-3.35	8.74	0.0	0.0	chr5:40909598-40983042	-4.833028386978028
CCDC69	47.39	6.24	-2.92	8.61	0.0	0.0	chr5:150560612-150603654	-4.2126695193957735
DUSP1	144.96	18.26	-2.99	8.99	0.0	0.0	chr5:172195092-172198203	-4.313658172258001
FKBP5	53.05	3.43	-3.95	10.52	0.0	0.0	chr6:35541361-35704724	-5.698645411511406
GPX3	613.37	45.18	-3.76	9.19	0.0	0.0	chr5:150399998-150408554	-5.424533353742502
KLF15	20.46	0.86	-4.58	8.42	0.0	0.0	chr3:126061477-126076236	-6.607543287271453
MAOA	43.24	4.41	-3.29	9.63	0.0	0.0	chrX:43515408-43606068	-4.74646668452469
SAMHD1	245.78	17.27	-3.83	9.87	0.0	0.0	chr20:35504569-35580246	-5.52552200660473
SERPINA3	139.89	13.78	-3.34	9.25	0.0	0.0	chr14:95078713-95090390	-4.818601436569137
SPARCL1	27.88	1.07	-4.7	9.84	0.0	0.0	chr4:88394487-88450655	-6.780666692178128
C13orf15	96.35	10.0	-3.27	8.18	2.2e-16	2.5e-13	chr13:42031541-42045013	-4.717612783706911
TSC22D3	93.26	9.69	-3.27	8.23	2.2e-16	2.5e-13	chrX:106956451-107019017	-4.717612783706911
CRISPLD2	51.17	7.89	-2.7	8.08	6.7e-16	6.9e-13	chr16:84853586-84943116	-3.8952766104002015
PER1	13.69	1.49	-3.2	7.86	3.8e-15	3.6e-12	chr17:8043787-8055753	-4.616624130844683
KCTD12	5.43	31.25	2.52	-7.71	1.2e-14	1.1e-11	chr13:77454303-77460540	3.635591503040188
ERRFI1	72.7	13.48	-2.43	7.41	1.3e-13	1.1e-10	chr1:8071778-8086393	-3.505748949360181
STEAP4	6.35	0.2	-4.99	7.19	6.7e-13	5.3e-10	chr7:87905743-87936228	-7.199048254035928
MT2A	561.55	119.33	-2.23	6.96	3.4e-12	2.6e-09	chr16:56642477-56643409	-3.2172099411823885
SOX4	4.0	21.26	2.41	-6.85	7.2e-12	5.1e-09	chr6:21593971-21598849	3.476895048542402
