gene_name	Dex FPKM	Untreated FPKM	Ln[Fold Change]	stat	P-Value	padj	Locus
C7	38.41	3.76	-3.35	8.74	0	0	chr5:40909598-40983042
CCDC69	47.39	6.24	-2.92	8.61	0	0	chr5:150560612-150603654
DUSP1	144.96	18.26	-2.99	8.99	0	0	chr5:172195092-172198203
FKBP5	53.05	3.43	-3.95	10.52	0	0	chr6:35541361-35704724
GPX3	613.37	45.18	-3.76	9.19	0	0	chr5:150399998-150408554
KLF15	20.46	0.86	-4.58	8.42	0	0	chr3:126061477-126076236
MAOA	43.24	4.41	-3.29	9.63	0	0	chrX:43515408-43606068
SAMHD1	245.78	17.27	-3.83	9.87	0	0	chr20:35504569-35580246
SERPINA3	139.89	13.78	-3.34	9.25	0	0	chr14:95078713-95090390
SPARCL1	27.88	1.07	-4.70	9.84	0	0	chr4:88394487-88450655
C13orf15	96.35	10.00	-3.27	8.18	2.2E-16	2.5E-13	chr13:42031541-42045013
TSC22D3	93.26	9.69	-3.27	8.23	2.2E-16	2.5E-13	chrX:106956451-107019017
CRISPLD2	51.17	7.89	-2.70	8.08	6.7E-16	6.9E-13	chr16:84853586-84943116
PER1	13.69	1.49	-3.20	7.86	3.8E-15	3.6E-12	chr17:8043787-8055753
KCTD12	5.43	31.25	2.52	-7.71	1.2E-14	1.1E-11	chr13:77454303-77460540
ERRFI1	72.70	13.48	-2.43	7.41	1.3E-13	1.1E-10	chr1:8071778-8086393
STEAP4	6.35	0.20	-4.99	7.19	6.7E-13	5.3E-10	chr7:87905743-87936228
MT2A	561.55	119.33	-2.23	6.96	3.4E-12	2.6E-09	chr16:56642477-56643409
SOX4	4.00	21.26	2.41	-6.85	7.2E-12	5.1E-09	chr6:21593971-21598849
METTL7A	83.26	17.33	-2.26	6.80	1.0E-11	6.9E-09	chr12:51318533-51326300
IRS2	24.99	5.55	-2.17	6.67	2.6E-11	1.7E-08	chr13:110406183-110438914
RASL11A	53.65	9.85	-2.45	6.62	3.7E-11	2.2E-08	chr13:27844463-27847827
FGD4	9.57	2.05	-2.23	6.53	6.4E-11	3.6E-08	chr12:32655040-32798984
INHBB	11.18	0.97	-3.53	6.54	6.3E-11	3.6E-08	chr2:121103718-121109383
NNMT	357.28	77.94	-2.20	6.48	9.4E-11	5.1E-08	chr11:114166534-114183238
KCNK6	15.76	2.21	-2.83	6.45	1.1E-10	5.6E-08	chr19:38810483-38819649
GLUL	345.16	43.70	-2.98	6.45	1.2E-10	5.8E-08	chr1:182350838-182361341
KLF9	22.89	5.41	-2.08	6.37	1.9E-10	9.1E-08	chr9:72999512-73029573
LOC100507632	50.97	11.98	-2.09	6.36	2.0E-10	9.3E-08	chr8:57430877-57472382
ITGA10	4.21	0.27	-3.95	6.31	2.7E-10	1.2E-07	chr1:145524989-145543868
CORO6	38.56	7.08	-2.44	6.24	4.4E-10	1.9E-07	chr17:27920526-27948441
ADRA1B	9.92	0.65	-3.93	6.16	7.3E-10	3.1E-07	chr5:159343739-159400017
IMPA2	32.53	6.03	-2.43	6.12	9.4E-10	3.8E-07	chr18:11981426-12030885
ZBTB16	15.28	0.08	-7.56	6.07	1.3E-09	5.2E-07	chr11:113930430-114121397
FOXO1	8.44	1.72	-2.30	6.04	1.5E-09	5.9E-07	chr13:41129800-41240734
ADAMTS5	27.12	6.31	-2.10	6.02	1.7E-09	6.4E-07	chr21:28290230-28339439
PDK4	17.87	2.97	-2.59	6.02	1.8E-09	6.4E-07	chr7:95212808-95225925
ENDOD1	29.12	7.50	-1.96	6.00	2.0E-09	7.0E-07	chr11:94822973-94865815
SORT1	54.34	11.74	-2.21	5.94	2.9E-09	9.9E-07	chr1:109852187-109940563
CACNB2	10.18	0.99	-3.36	5.92	3.3E-09	1.1E-06	chr10:18429605-18830688
ADARB1	26.70	5.18	-2.37	5.90	3.6E-09	1.2E-06	chr21:46494492-46646478
NEXN	111.76	27.65	-2.02	5.90	3.7E-09	1.2E-06	chr1:78354199-78409578
NAV3	4.71	0.99	-2.25	5.89	3.8E-09	1.2E-06	chr12:78225068-78606790
DCXR	62.27	12.13	-2.36	5.83	5.7E-09	1.7E-06	chr17:79993756-79995573
STC1	17.81	3.33	-2.42	5.83	5.6E-09	1.7E-06	chr8:23699433-23712320
TRNP1	41.28	10.39	-1.99	5.80	6.7E-09	2.0E-06	chr1:27320194-27327377
NOV	2.10	12.69	2.60	-5.78	7.4E-09	2.1E-06	chr8:120428551-120436678
IGFBP2	120.50	27.25	-2.14	5.76	8.3E-09	2.3E-06	chr2:217498126-217529158
MAMDC2	15.17	3.23	-2.23	5.71	1.1E-08	3.1E-06	chr9:72658496-72873790
SUN2	74.85	19.18	-1.96	5.71	1.1E-08	3.1E-06	chr22:39130718-39152024
FSTL3	54.78	14.73	-1.89	5.70	1.2E-08	3.2E-06	chr19:676388-683392
LRRC17	8.48	40.86	2.27	-5.67	1.5E-08	3.8E-06	chr7:102453307-102715288
TBX18	9.65	34.23	1.83	-5.65	1.6E-08	4.2E-06	chr6:85444156-85473899
SCD	4.33	17.17	1.99	-5.64	1.7E-08	4.3E-06	chr10:102106771-102124588
BDKRB2	24.15	91.08	1.92	-5.62	1.9E-08	4.7E-06	chr14:96671134-96710666
PTX3	389.65	83.36	-2.22	5.61	2.0E-08	4.8E-06	chr3:156977531-157221415
WNT2	1.04	9.36	3.17	-5.61	2.1E-08	4.9E-06	chr7:116916685-116963343
GPRC5B	54.74	14.75	-1.89	5.57	2.5E-08	5.8E-06	chr16:19870292-19896151
HSPA2	13.52	2.34	-2.53	5.55	2.9E-08	6.7E-06	chr14:65007185-65009954
FAM107A	3.96	0.16	-4.67	5.53	3.1E-08	7.0E-06	chr3:58549844-58563491
TJP2	86.27	21.72	-1.99	5.54	3.1E-08	7.0E-06	chr9:71736179-71870124
PPP1R14A	32.96	3.76	-3.13	5.53	3.3E-08	7.1E-06	chr19:38741876-38747231
SLC7A14	0.24	1.87	2.98	-5.48	4.1E-08	8.9E-06	chr3:170177341-170303863
FER1L6	0.33	3.05	3.20	-5.48	4.3E-08	9.1E-06	chr8:124864226-125132302
MTSS1	22.92	5.96	-1.94	5.39	6.9E-08	1.4E-05	chr8:125563027-125740730
CLDN11	26.48	89.44	1.76	-5.34	9.3E-08	1.9E-05	chr3:170136652-170152479
VCAM1	1.00	11.98	3.58	-5.33	1.0E-07	2.0E-05	chr1:101185195-101204601
CYR61	163.09	45.48	-1.84	5.32	1.1E-07	2.1E-05	chr1:86046443-86049648
ADAMTS14	2.03	10.55	2.38	-5.31	1.1E-07	2.1E-05	chr10:72432558-72522195
USP53	78.27	17.52	-2.16	5.30	1.1E-07	2.2E-05	chr4:120133781-120216673
GPM6B	34.28	4.98	-2.78	5.26	1.5E-07	2.8E-05	chrX:13789061-13956831
ADAMTS1	476.33	96.16	-2.31	5.18	2.2E-07	4.1E-05	chr21:28208605-28217728
TRPC6	8.64	2.25	-1.94	5.14	2.8E-07	5.2E-05	chr11:101322294-101454659
RASL11B	5.56	0.34	-4.03	5.12	3.1E-07	5.6E-05	chr4:53728494-53733002
LMCD1	147.37	47.59	-1.63	5.03	4.8E-07	8.6E-05	chr3:8543510-8609806
MMD	41.54	13.56	-1.62	5.02	5.3E-07	9.3E-05	chr17:53469973-53499341
CCKAR	11.48	49.63	2.11	-5.01	5.5E-07	9.7E-05	chr4:26483017-26492042
ACSL1	24.80	8.13	-1.61	5.00	5.8E-07	9.9E-05	chr4:185676748-185747215
PKDCC	41.65	13.22	-1.66	5.00	5.8E-07	9.9E-05	chr2:42275160-42285668
STEAP1	94.51	31.97	-1.56	4.94	7.6E-07	1.3E-04	chr7:89783688-89794141
ACSS1	11.88	3.09	-1.94	4.94	8.0E-07	1.3E-04	chr20:24986865-25038818
TIMP4	9.70	1.34	-2.85	4.93	8.2E-07	1.4E-04	chr3:12045861-12233532
CREB5	1.29	5.22	2.01	-4.91	9.0E-07	1.5E-04	chr7:28338939-28865511
